Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.251189,-0.206029,-0.945757,-3.1485,-2.56932,-11.821
-0.203461,-0.208832,-0.956553,-2.54759,-2.60684,-11.9568
-0.228378,-0.249138,-0.941156,-2.85966,-3.11179,-11.7639
-0.323013,-0.401842,-0.856846,-4.03746,-5.02225,-10.711
-0.243804,-0.597606,-0.763824,-3.04512,-7.47342,-9.54595
-0.270123,-0.560057,-0.783179,-3.37555,-7.00195,-9.78919
-0.22177,-0.565555,-0.794334,-2.77194,-7.06992,-9.92886
-0.127377,-0.42164,-0.897772,-1.59326,-5.27104,-11.2217
-0.0767103,-0.424011,-0.902402,-0.959627,-5.29912,-11.2804
-0.101623,-0.462989,-0.880519,-1.2721,-5.78911,-11.0054
-0.195774,-0.602313,-0.773881,-2.44506,-7.53546,-9.66895
-0.11637,-0.7496,-0.651581,-1.45987,-9.36475,-8.14986
-0.141463,-0.723279,-0.675911,-1.77051,-9.03864,-8.45092
-0.0953874,-0.724489,-0.682654,-1.19592,-9.05644,-8.53232
-0.0704737,-0.749887,-0.657802,-0.881961,-9.36907,-8.22755
-0.188317,-0.865978,0.46327,-2.36212,-10.8246,5.78774
-0.147766,-0.865575,0.478482,-1.84905,-10.8196,5.9806
-0.179004,-0.845184,0.503609,-2.24424,-10.5632,6.29546
-0.463269,-0.188315,0.865979,-5.78774,-2.36212,10.8246
-0.478482,-0.147766,0.865575,-5.9806,-1.84905,10.8196
-0.50361,-0.179001,0.845184,-6.29546,-2.24424,10.5632
-0.488032,-0.219529,0.844767,-6.09725,-2.74414,10.5614
-0.369352,-0.394479,0.841407,-4.61882,-4.92711,10.5185
-0.390936,-0.352348,0.850306,-4.88584,-4.40602,10.6285
-0.414641,-0.38542,0.824333,-5.18496,-4.81019,10.3067
-0.392469,-0.428373,0.813919,-4.90662,-5.35424,10.1738
-0.243803,-0.597609,0.763822,-3.04512,-7.47342,9.54595
-0.270104,-0.56003,0.783205,-3.37555,-7.00195,9.78919
-0.291295,-0.592107,0.75137,-3.64109,-7.40191,9.3917
-0.264413,-0.628542,0.731451,-3.29904,-7.86165,9.14115
-0.11637,-0.749609,0.651571,-1.45987,-9.36475,8.14986
-0.14147,-0.723279,0.675909,-1.7705,-9.03864,8.45094
-0.16057,-0.749383,0.642372,-2.00501,-9.3655,8.03227
-0.219529,-0.844767,0.488032,-2.74414,-10.5614,6.09724
-0.394478,-0.841405,0.369358,-4.92711,-10.5185,4.61882
-0.352352,-0.850303,0.390939,-4.40602,-10.6285,4.88584
-0.38542,-0.824333,0.414641,-4.81016,-10.3067,5.18496
-0.584516,-0.333386,0.739726,-7.30576,-4.15726,9.25165
-0.601339,-0.289679,0.744633,-7.51865,-3.6164,9.30815
-0.623714,-0.317873,0.714099,-7.79445,-3.96577,8.93136
-0.606553,-0.362802,0.707438,-7.58256,-4.53002,8.84497
-0.476116,-0.554854,0.682239,-5.95072,-6.93542,8.5287
-0.50111,-0.512265,0.697477,-6.26246,-6.40206,8.72039
-0.520155,-0.541752,0.66026,-6.50139,-6.77304,8.25275
-0.494329,-0.583539,0.644299,-6.17995,-7.29312,8.0541
