"Points:0","Points:1","Points:2"
-1.994,7.7704,-7.7017
-2.0067,7.7561,-7.588
-1.9957,7.7307,-7.6114
-1.9855,7.7015,-7.6346
-1.9954,7.6978,-7.5623
-2.0049,7.7322,-7.5534
-2.0145,7.7338,-7.4929
-2.0044,7.6995,-7.5042
-2.0174,7.7095,-7.4339
-2.0346,7.7374,-7.3709
-2.0288,7.7599,-7.4538
-2.0202,7.783,-7.563
-2.0328,7.7851,-7.4883
-2.047,7.8303,-7.5287
-2.0337,7.8292,-7.6067
-2.0204,7.806,-7.6223
-2.0068,7.7909,-7.6676
-2.0213,7.8283,-7.6801
-2.0067,7.8133,-7.7273
-2.0152,7.8394,-7.7506
-2.0379,7.8731,-7.7281
-2.0534,7.8765,-7.6499
-2.0506,7.8547,-7.5882
-2.0695,7.8802,-7.5694
-2.0741,7.8624,-7.4736
-2.0629,7.8371,-7.4531
-2.0795,7.8443,-7.3752
-2.0614,7.8157,-7.3939
-2.0622,7.7979,-7.3382
-2.0792,7.8262,-7.3168
-2.0985,7.862,-7.3234
-2.0981,7.8449,-7.2637
-2.1201,7.881,-7.2668
-2.1063,7.8393,-7.1946
-2.1345,7.8691,-7.1284
-2.1243,7.8453,-7.1035
-2.0975,7.8111,-7.1602
-2.0798,7.8089,-7.2613
-2.0762,7.7813,-7.2103
-2.0494,7.7666,-7.3394
-2.0457,7.7873,-7.4121
-2.054,7.7462,-7.2681
-2.0414,7.709,-7.2826
-2.0213,7.6863,-7.3777
-2.0309,7.658,-7.2915
-2.0136,7.636,-7.3852
-2.0087,7.676,-7.4475
-2.0022,7.6513,-7.4691
-1.997,7.666,-7.5154
-1.9886,7.6422,-7.5554
-1.9971,7.6273,-7.4901
-1.9906,7.6035,-7.5295
-1.9816,7.6187,-7.5949
-1.9789,7.6462,-7.6252
-1.9872,7.67,-7.5862
-1.9777,7.6742,-7.6563
-1.9701,7.6802,-7.715
-1.9713,7.6362,-7.6741
-1.9637,7.6417,-7.7315
-1.9678,7.5983,-7.6923
-1.9573,7.6029,-7.7695
-1.9659,7.5666,-7.7171
-1.9758,7.5718,-7.6411
-1.9743,7.6082,-7.645
-1.982,7.5818,-7.5925
-1.985,7.5459,-7.5907
-1.9751,7.5405,-7.6683
-1.984,7.5229,-7.622
-1.9946,7.5016,-7.573
-1.9952,7.5212,-7.5424
-2.0062,7.5026,-7.49
-2.0059,7.4682,-7.5509
-2.0144,7.4769,-7.4747
-2.0187,7.4511,-7.4965
-2.0195,7.4317,-7.5383
-2.0337,7.4079,-7.504
-2.0326,7.4343,-7.4418
-2.0455,7.4066,-7.4286
-2.0406,7.4385,-7.3804
-2.0535,7.4106,-7.3665
-2.0494,7.443,-7.3168
-2.0639,7.4216,-7.278
-2.0655,7.4347,-7.2411
-2.0533,7.4609,-7.2606
-2.0402,7.4828,-7.3014
-2.0364,7.4642,-7.3548
-2.0243,7.4863,-7.3936
-2.0291,7.5094,-7.3326
-2.0163,7.5119,-7.4101
-2.0095,7.5388,-7.4275
-2.022,7.5364,-7.3493
-2.0145,7.5551,-7.3836
-2.0042,7.5633,-7.4462
-2.0097,7.5803,-7.4036
-2,7.5889,-7.4658
-2.0061,7.6122,-7.4259
-2.0159,7.6037,-7.362
-2.0236,7.6205,-7.317
-2.027,7.5884,-7.2947
-2.0203,7.5716,-7.3394
-2.0339,7.5695,-7.2587
-2.0359,7.534,-7.2681
-2.0464,7.506,-7.2355
-2.0457,7.5459,-7.2041
-2.0585,7.5235,-7.1515
-2.0579,7.5012,-7.1777
-2.0702,7.4841,-7.134
-2.0705,7.506,-7.1063
-2.0601,7.5455,-7.1261
-2.0713,7.5464,-7.0674
-2.0627,7.5679,-7.1008
-2.0764,7.5751,-7.0268
-2.0689,7.5899,-7.0617
-2.0546,7.6083,-7.1371
-2.0687,7.6282,-7.0635
-2.062,7.645,-7.1059
-2.0775,7.6593,-7.0282
-2.0702,7.6682,-7.0739
-2.0651,7.686,-7.1171
-2.0462,7.6512,-7.1974
-2.0499,7.6294,-7.1667
-2.0345,7.6053,-7.2498
-2.032,7.6312,-7.2702
-2.0506,7.6807,-7.195
-2.0444,7.6067,-7.1932
-2.0483,7.5685,-7.1779
-2.0611,7.7181,-7.179
-2.0757,7.7231,-7.1017
-2.0795,7.6916,-7.042
-2.0896,7.7215,-7.02
-2.1005,7.7148,-6.9485
-2.0932,7.6741,-6.9514
-2.0837,7.643,-6.9871
-2.097,7.6533,-6.9196
-2.1071,7.663,-6.8686
-2.1072,7.7034,-6.8977
-2.1141,7.6928,-6.8485
-2.1213,7.6694,-6.7931
-2.1252,7.6998,-6.7902
-2.1289,7.723,-6.7912
-2.1176,7.7162,-6.851
-2.1223,7.7398,-6.8537
-2.1356,7.7521,-6.7901
-2.1417,7.7749,-6.7924
-2.1233,7.7655,-6.8918
-2.1121,7.7453,-6.924
-2.1212,7.7837,-6.9434
-2.1016,7.7518,-6.9977
-2.1069,7.7827,-7.0292
-2.126,7.8039,-6.9636
-2.1338,7.8097,-6.9295
-2.1351,7.7858,-6.8596
-2.1539,7.8266,-6.8424
-2.1473,7.8013,-6.8155
-2.153,7.7907,-6.7493
-2.1486,7.7651,-6.7273
-2.1628,7.7922,-6.6812
-2.1645,7.7834,-6.6495
-2.1538,7.7471,-6.6634
-2.1418,7.7348,-6.7254
-2.145,7.7276,-6.6967
-2.1487,7.7185,-6.6644
-2.1602,7.7302,-6.6007
-2.1522,7.7089,-6.6342
-2.1578,7.7006,-6.5944
-2.1702,7.7421,-6.5433
-2.1674,7.7522,-6.5758
-2.1757,7.7787,-6.5536
-2.1775,7.7669,-6.5197
-2.1835,7.7861,-6.503
-2.1844,7.8029,-6.5307
-2.1701,7.7807,-6.6013
-2.1649,7.7625,-6.6081
-2.1751,7.8028,-6.6102
-2.1775,7.8195,-6.6361
-2.1859,7.8226,-6.5713
-2.1937,7.8269,-6.5085
-2.1918,7.8105,-6.4808
-2.1993,7.825,-6.4433
-2.2015,7.8406,-6.4707
-2.2005,7.8522,-6.5298
