Point ID,Points_0,Points_1,Points_2
31123,38944,76418,33508.6
31124,38924.9,76722,33529.5
31125,38835.1,76879.9,33794
31126,38828.1,77240.7,33830.7
31127,38734.3,77006.1,34109
31128,38722.4,77368.3,34177.1
31129,38618.5,77156,34484.3
31130,38650.2,77517,34433.2
31131,38562,77418.2,34697.8
31132,38578.8,77723.9,34713.8
31133,38476,77468.3,34991.1
31134,38511.9,77145,34828.9
31135,38431.6,77140.5,35098.9
31136,38453.1,76750.6,35024.7
31137,38555,76862.6,34680.2
31138,38655.6,76723.3,34364.5
31139,38556.8,76572,34695.5
31140,38629.8,76424.6,34480.4
31141,38714.2,76343,34225.6
31142,38762.5,76647.2,34033
31143,38831.5,76307.9,33866.6
31144,38778.6,75979.2,34114.5
31145,38933.4,75980,33639.7
31146,38893.6,75666.4,33872.4
31147,38796.6,75594.7,34205.6
31148,38691,75840.9,34444.1
31149,38666.9,76149.6,34421.3
31150,38607.9,76020.3,34652.6
31151,38580.5,76284.8,34669
31152,38527.7,76095.4,34895.7
31153,38494.2,76404.9,34929.8
31154,38436.6,76197.4,35178.4
31155,38415.6,76490.7,35185.6
31156,38358.9,76643,35366
31157,38357.1,76931.2,35352.9
31158,38281.1,76718.8,35640.9
31159,38278.1,77100.8,35637.9
31160,38357,77292.4,35371.3
31161,38275.8,77472.6,35680.6
31162,38391.2,77667.8,35318.6
31163,38305.9,77827.9,35649.4
31164,38210.6,77660.6,35943.6
31165,38240.9,78000.3,35920.8
31166,38336.6,78223.3,35678.6
31167,38400,77997.6,35385.8
31168,38478.8,78275.6,35241.3
31169,38462.6,78636.5,35474
31170,38584.9,78608.5,35077.8
31171,38501.2,77926.3,35029.5
31172,38586.7,78891.5,35238.7
31173,38528.9,79026.3,35499
31174,38416.3,78888.4,35757
31175,38469.6,79219,35799.4
31176,38335.5,78991.3,36061.6
31177,38408.7,79380.8,36084.5
31178,38256.5,79185.9,36415
31179,38341.3,79599,36423.4
31180,38481.3,79718.3,36113.8
31181,38540.6,79568.9,35836
31182,38596.1,79855.3,35889.7
31183,38666.6,79776.1,35623.1
31184,38610.6,79413.1,35518.1
31185,38761.8,79748.8,35318.2
31186,38738.5,79496.1,35194.9
31187,38653.6,79173.1,35218.1
31188,38779.5,79315.7,34937.1
31189,38690.3,78942.2,34951.7
31190,38832,79112.8,34633.2
31191,38918.5,79498.5,34655.6
31192,38869,79717.9,34972.3
31193,39014.8,79853.8,34650.2
31194,38983.6,80072.9,34918.3
31195,38868.7,80025.9,35220.4
31196,38775.9,79981.7,35460.7
31197,38856.7,80244.8,35435.3
31198,38719.9,80122.7,35740.4
31199,38828.1,80420.4,35665.3
31200,38725.7,80422,35965.3
31201,38868,80719.1,35795.7
31202,38964.1,80617.5,35429.3
31203,39025.7,81025.5,35592.5
31204,39108.4,80937.7,35280.2
31205,39126.5,80665.5,35000.6
31206,39258.9,81091,34987.7
31207,39274.4,80844.2,34739.9
31208,39219.6,80570.6,34659.9
31209,39091.7,80380.9,34860.4
31210,38988.2,80364.9,35146.6
31211,39144,80223.3,34583.4
31212,39314.2,80480.5,34334.2
31213,39479.8,80486.9,33930
31214,39462.6,80724.3,34164.5
31215,39370.9,80783.6,34438.5
31216,39539.3,81062.5,34253.5
31217,39407.2,81122.2,34625
31218,39576.8,81413.5,34436.5
31219,39725.5,81396,34053.2
31220,39655.4,80912,33853.4
31221,39872.7,81345.8,33642
31222,39823.1,80944.1,33461.3
31223,39956,81202.5,33317.7
31224,40051.8,81484.2,33277.4
31225,40052.1,81251.6,33101.8
31226,39953,80912.8,33101.1
31227,40102.1,81127.4,32872.3
31228,40189.4,81481.1,32909.8
31229,40229.4,81223.3,32607.3
31230,40097.7,80836.4,32656.8
31231,40280.9,81029,32317.9
31232,40208.2,80702.7,32252.6
31233,40338.6,80896.1,32054.6
31234,40291.5,80594.3,31933.3
31235,40471.5,80938.5,31733.4
31236,40398.3,80537.7,31589.1
31237,40155.2,80372.4,32126.7
31238,40545.7,80803.4,31417.7
31239,40523.9,80547.2,31248.5
31240,40515.8,80309.5,31052.8
31241,40641.2,80559.7,30929.8
31242,40792.7,80879,30805.3
31243,40648.7,80841.2,31170.6
31244,40791.7,81176.6,31086.6
31245,40643,81082.2,31402.2
31246,40796.4,81494.8,31362.5
31247,40956.3,81515.1,30955.3
31248,40955.4,81218.6,30676.4
31249,40981.2,81833.7,31174.5
31250,40864.5,81824.9,31466.6
31251,40714.4,81651.2,31703.7
31252,40672.5,81864.3,31971.1
31253,40549.9,81512.5,32003.8
31254,40510.4,81741.2,32275.6
31255,40388.5,81373.9,32304.4
31256,40353.2,81595.9,32563.9
31257,40443.4,81985.8,32612.3
31258,40610.8,82075.2,32268
31259,40581.8,82322.9,32498.4
31260,40689,82639,32431.7
31261,40574.4,82557.6,32661.1
31262,40636.1,82868.2,32688.5
31263,40475.4,82645.5,32958.8
31264,40462.7,82335.1,32796
31265,40327.7,82355.9,33152.2
31266,40378.9,82765.3,33278
31267,40562.9,83040,32965.5
31268,40446.2,83225.9,33385.5
31269,40288,82921.2,33620.4
31270,40315.7,83198.3,33727.6
31271,40182.3,83018.6,33976.7
31272,40138.6,82682.9,33871.5
31273,40058.5,82772.2,34152.4
31274,40052.1,82976.8,34314.5
31275,39952.5,82719.5,34411.2
31276,39955.1,82942.9,34565.2
31277,39905.6,83099,34820.8
31278,39833.6,82700.8,34727.8
31279,39748,82826.9,35056.4
31280,39700.1,82569.9,34993.3
31281,39610.8,82586.1,35243.1
31282,39506.7,82627,35553.2
31283,39471.4,82328.1,35415.1
31284,39586.2,82310.8,35097.8
31285,39457.6,81999.2,35191.5
31286,39584.7,82026.4,34885.4
31287,39448.2,81704.6,34985.9
31288,39604.6,81751.3,34626.4
31289,39432.8,81411.7,34793.2
31290,39328.2,81439.8,35086.9
31291,39182.4,81284.9,35359.5
31292,39317.6,81661.1,35293.8
31293,39189.5,81588.1,35591.9
31294,39305.5,81971.3,35580.9
31295,39697.8,81655.4,34318.5
31296,39746.9,81901.6,34376.3
31297,39813.8,81798,34126.3
31298,39891.8,81649.7,33815.6
31299,39920.5,81942.8,33950.2
31300,39865.7,82120.8,34222.8
31301,40043.4,82280.5,33858.6
31302,40022.6,81920.5,33661
31303,40164.2,82173.7,33460.6
31304,40106.6,81823.5,33373.4
31305,39990.5,81671.7,33572.2
31306,40200.3,81780.4,33095.8
31307,40221.7,82026.8,33208.1
31308,40319.3,82047,32967.6
31309,40299.3,81768.6,32827.3
31310,40225.6,82538.4,33539.1
31311,39986.1,82478.7,34149
31312,39847.3,82427.2,34490.2
31313,39725.7,82368,34774
31314,39739.6,82099.5,34540.5
31315,39355.9,82363.4,35757.1
31316,39401.8,82687.9,35886.8
31317,39318.8,82735.4,36155.2
31318,40445.9,81196.4,32013.7
31319,40595.9,81306.2,31718.8
31320,40047.3,80428.5,32467.8
31321,40003.5,80103,32324.5
31322,39881.1,80457.8,32927.5
31323,39810,80653.9,33266.2
31324,39656.7,80559.8,33568.9
31325,39702.2,80343.6,33288.1
31326,39535.1,80229,33592.3
31327,38609.3,80466.2,36325.8
31328,38583.6,80122.1,36131.3
31329,38479.6,80160.5,36443.5
31330,38480.2,80511.1,36700.6
31331,38328.7,80116,36810.5
31332,38332.9,80384.4,36984.8
31333,38418.8,80695.9,36994.3
31334,38277.4,80518.3,37216.8
31335,38348.7,80804,37248.2
31336,38234.6,80738.1,37480.4
31337,38134.8,80396.4,37506.2
31338,38193,80148.3,37188.9
31339,38049.9,80065,37535.9
31340,37987.3,80250.1,37823.7
31341,38087.9,80646.4,37797.5
31342,37945.8,80491.6,38086.8
31343,38003.4,80751.9,38097.6
31344,38116.7,80984.3,37960
31345,38204.3,80924.5,37691
31346,38340.4,81035.7,37441.5
31347,38265.1,81244.6,37779.2
31348,38505.3,81438.4,37350.7
31349,38492.1,81062,37093.6
31350,38412.4,81668.8,37741.4
31351,38234.2,81518.7,38053.5
31352,38138.1,81235.7,38087.1
31353,38040.1,81375.2,38431.6
31354,38200.6,81720.5,38279.4
31355,38125.1,81819,38528.7
31356,37977.2,81602.4,38740.3
31357,38030.3,81897.9,38810.8
31358,37893.9,81710.5,39015.1
31359,37961,81995.3,39044.1
31360,38070.4,82259.3,38963.5
31361,38193.1,82145.3,38593.2
31362,38236,82474.4,38727.4
31363,38363.4,82412.7,38392.1
31364,38287.9,82031.7,38295
31365,38448.9,82239.1,38071.6
31366,38354.3,81874.7,38027.3
31367,38516.2,82524.3,38123.2
31368,38624.6,82791.4,38062
31369,38759.7,82935.1,37834.4
31370,38818.9,82800,37583.5
31371,38894.6,83048.9,37568.9
31372,38854.3,83257.4,37828.8
31373,38721.7,83115.5,38059.6
31374,38492.7,82686.6,38294
31375,38136,82543.2,39009.5
31376,38110.1,82730.5,39202.2
31377,38015.5,82450.7,39227.9
31378,37934.1,82618.6,39535.8
31379,37897.6,82322.6,39418.7
31380,37776.8,82302,39686.8
31381,37745.7,82583.5,39941.7
31382,37925.7,83009.3,39818.2
31383,38095.2,83010.2,39433
31384,37988.7,83357.3,39905.9
31385,37578.9,82540.1,40273.7
31386,37608.8,82213,40004.6
31387,37434.4,82143.4,40324.9
31388,37385.3,82401.4,40574.3
31389,37256.8,82042.1,40615.3
31390,37321.7,81848.2,40377.3
31391,37476,81855.4,40068.9
31392,37290.3,81570.7,40284.5
31393,37407.8,81478.9,39989.4
31394,37248.3,81253.8,40199.7
31395,37348.4,81187.2,39951.5
31396,37235.7,80911.2,40052.3
31397,37403.3,81009.7,39739.7
31398,37486,81312,39722.1
31399,37578.3,81159.4,39427.8
31400,37465.8,80809.1,39494.7
31401,37302.3,80653.5,39782.3
31402,37389.2,80453.6,39496.4
